Ambient,Heatwave,Species
1.1,-2.4,PIPO
3.7,-1.1,PIPO
5.7,3,PIPO
5.7,5.6,PIPO
5.7,5.6,PIPO
5.7,5.7,PIPO
5.7,5.7,PIPO
5.8,6,PIPO
6.7,6,PIPO
6.7,6.1,PIPO
6.7,6.1,PIPO
6.8,6.2,PIPO
7.1,6.4,PIPO
7.6,6.5,PIPO
7.6,6.5,PIPO
7.6,6.7,PIPO
7.6,7,PIPO
8.5,7.5,PIPO
8.6,8.5,PIPO
8.7,10,PIPO
4.2,7.7,PIED
10.6,10.2,PIED
10.7,10.8,PIED
10.8,11,PIED
11,11.2,PIED
11.6,11.2,PIED
12,11.3,PIED
12.9,11.4,PIED
13.6,12.2,PIED
15.2,12.4,PIED
15.2,13.1,PIED
4.6,7.8,PIED
NA,15.9,PIED
8.1,8.5,PIED
8.5,8.5,PIED
9.4,8.8,PIED
9.6,8.9,PIED
9.9,9.6,PIED
10.4,9.8,PIED
10.6,9.8,PIED
14.7,-4,PIFL
15.4,15.4,PIFL
16.7,17,PIFL
16.7,17.2,PIFL
17.2,17.8,PIFL
17.7,18,PIFL
18.2,19.1,PIFL
18.5,19.2,PIFL
19,19.3,PIFL
19,19.3,PIFL
19.3,19.3,PIFL
19.9,19.4,PIFL
19.9,19.7,PIFL
20,20.2,PIFL
20.2,20.3,PIFL
21.1,20.4,PIFL
21.3,21.8,PIFL
21.6,22.2,PIFL
21.8,23.3,PIFL
22.4,23.6,PIFL
9.3,7.6,PSME
9.3,7.8,PSME
9.9,7.9,PSME
10,7.9,PSME
10.1,9,PSME
11.2,9.2,PSME
11.6,9.3,PSME
11.9,10.2,PSME
12,10.5,PSME
12.5,10.6,PSME
12.5,11.2,PSME
12.7,11.6,PSME
12.8,11.6,PSME
13.1,11.7,PSME
13.1,11.8,PSME
13.2,12.5,PSME
13.2,13.3,PSME
13.3,13.4,PSME
13.3,13.4,PSME
13.6,14.3,PSME
10.3,10.4,PIEN
10.4,10.5,PIEN
10.4,10.5,PIEN
10.4,10.6,PIEN
10.5,10.6,PIEN
10.5,10.7,PIEN
10.6,10.7,PIEN
10.8,11.3,PIEN
11.3,11.6,PIEN
11.4,11.6,PIEN
11.4,12.3,PIEN
11.5,12.4,PIEN
12.2,12.4,PIEN
12.2,12.4,PIEN
12.4,12.4,PIEN
12.4,12.4,PIEN
12.8,12.5,PIEN
13.3,12.5,PIEN
14.3,12.5,PIEN
15.4,13.2,PIEN
