Species,Treatment_water,Dead_Count
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Drought,1
PIED,Watered,0
PIED,Watered,0
PIED,Watered,0
PIED,Watered,0
PIED,Watered,0
PIED,Watered,0
PIED,Watered,0
PIED,Watered,0
PIED,Watered,0
PIED,Watered,0
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Drought,1
PIEN,Watered,0
PIEN,Watered,0
PIEN,Watered,0
PIEN,Watered,0
PIEN,Watered,0
PIEN,Watered,0
PIEN,Watered,0
PIEN,Watered,0
PIEN,Watered,0
PIEN,Watered,0
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Drought,1
PIFL,Watered,0
PIFL,Watered,0
PIFL,Watered,0
PIFL,Watered,0
PIFL,Watered,0
PIFL,Watered,0
PIFL,Watered,0
PIFL,Watered,0
PIFL,Watered,0
PIFL,Watered,0
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Drought,1
PIPO,Watered,0
PIPO,Watered,0
PIPO,Watered,1
PIPO,Watered,0
PIPO,Watered,1
PIPO,Watered,0
PIPO,Watered,0
PIPO,Watered,0
PIPO,Watered,0
PIPO,Watered,0
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Drought,1
PSME,Watered,0
PSME,Watered,0
PSME,Watered,0
PSME,Watered,0
PSME,Watered,0
PSME,Watered,0
PSME,Watered,0
PSME,Watered,0
PSME,Watered,0
PSME,Watered,0
