Time,Phase,Chamber,Heatwave,Temperature_C
130,1,1,no,19.1
200,1,1,no,17.3
300,1,1,no,15.6
430,1,1,no,12.8
600,1,1,no,10.0
730,1,1,no,14.5
900,1,1,no,16.5
1030,1,1,no,19.0
1200,1,1,no,28.1
1330,1,1,no,27.2
1500,1,1,no,26.3
1630,1,1,no,25.5
1800,1,1,no,24.6
1900,1,1,no,23.7
2100,1,1,no,22.9
2300,1,1,no,22.0
2400,1,1,no,21.1
130,1,1,yes,29.1
200,1,1,yes,27.3
300,1,1,yes,25.6
430,1,1,yes,22.8
600,1,1,yes,20.0
730,1,1,yes,24.5
900,1,1,yes,26.5
1030,1,1,yes,29.0
1200,1,1,yes,38.1
1330,1,1,yes,37.2
1500,1,1,yes,36.3
1630,1,1,yes,35.5
1800,1,1,yes,34.6
1900,1,1,yes,33.7
2100,1,1,yes,32.9
2300,1,1,yes,32.0
2400,1,1,yes,31.1
130,1,2,no,12.7
200,1,2,no,11.7
300,1,2,no,10.6
430,1,2,no,8.5
600,1,2,no,6.4
730,1,2,no,10.5
900,1,2,no,14.6
1030,1,2,no,18.7
1200,1,2,no,22.8
1330,1,2,no,20.8
1500,1,2,no,18.8
1630,1,2,no,16.8
1800,1,2,no,14.8
1900,1,2,no,14.8
2100,1,2,no,14.8
2300,1,2,no,14.8
2400,1,2,no,14.8
130,1,2,yes,22.7
200,1,2,yes,21.7
300,1,2,yes,20.6
430,1,2,yes,18.5
600,1,2,yes,16.4
730,1,2,yes,20.5
900,1,2,yes,24.6
1030,1,2,yes,28.7
1200,1,2,yes,32.8
1330,1,2,yes,30.8
1500,1,2,yes,28.8
1630,1,2,yes,26.8
1800,1,2,yes,24.8
1900,1,2,yes,24.8
2100,1,2,yes,24.8
2300,1,2,yes,24.8
2400,1,2,yes,24.8
130,1,3,no,12.2
200,1,3,no,11.2
300,1,3,no,10.2
430,1,3,no,8.2
600,1,3,no,6.2
730,1,3,no,10.2
900,1,3,no,14.2
1030,1,3,no,18.2
1200,1,3,no,22.2
1330,1,3,no,20.2
1500,1,3,no,18.2
1630,1,3,no,16.2
1800,1,3,no,14.2
1900,1,3,no,14.2
2100,1,3,no,14.2
2300,1,3,no,14.2
2400,1,3,no,14.2
130,1,3,yes,22.2
200,1,3,yes,21.2
300,1,3,yes,20.2
430,1,3,yes,18.2
600,1,3,yes,16.2
730,1,3,yes,20.2
900,1,3,yes,24.2
1030,1,3,yes,28.2
1200,1,3,yes,32.2
1330,1,3,yes,30.2
1500,1,3,yes,28.2
1630,1,3,yes,26.2
1800,1,3,yes,24.2
1900,1,3,yes,24.2
2100,1,3,yes,24.2
2300,1,3,yes,24.2
2400,1,3,yes,24.2
